"X","country","village","long","lat","n","y"
6020,"TANZANIA","Mundindi",34.908,-9.835,40,18.8
6021,"TANZANIA","Njelela",34.92,-9.785,40,18.8
6022,"TANZANIA","Lugumbiro",34.437,-9.73,40,17.2
6023,"TANZANIA","Mawengi",34.475,-9.845,40,16
6024,"TANZANIA","Lupande",34.425,-9.775,40,16
6025,"TANZANIA","Luana",34.585,-9.96,40,14.8
6026,"TANZANIA","Mbwila",34.58,-9.94,40,20
6027,"TANZANIA","Ibihi Mag",34.621,-10.022,40,16
6028,"TANZANIA","Kilugu",33.9159,-9.3647,40,25.2
6029,"TANZANIA","Kisegese",33.9136,-9.4106,40,20.8
6030,"TANZANIA","Kibole",33.8772,-9.3624,40,20.4
6031,"TANZANIA","Kifunda",33.9068,-9.3349,40,19.6
6032,"TANZANIA","Ngubati",33.659,-9.4587,40,16.8
6033,"TANZANIA","Kipapa",33.9022,-9.3028,40,16.44
6034,"TANZANIA","Kambasege",33.7977,-9.3945,40,11.6
6035,"TANZANIA","Mababu",33.8727,-9.4931,40,10.4
6036,"TANZANIA","Sanu",33.884,-9.2798,40,10.4
6037,"TANZANIA","Kipoke",33.5409,-9.1881,40,0.4
6038,"TANZANIA","Mbambo",33.7772,-9.3624,40,7.2
6039,"TANZANIA","Masukulu",33.7909,-9.3945,40,6.8
6040,"TANZANIA","Ngeleka",33.9045,-9.445,40,6.4
6041,"TANZANIA","Kasyabone",33.859,-9.3853,40,6.4
6042,"TANZANIA","Ntaba",33.8295,-9.4358,40,2
6043,"TANZANIA","Isange",33.8223,-9.3991,40,0.4
6044,"TANZANIA","Ndobo",33.925,-9.4954,40,1.2
6045,"TANZANIA","Busil   y",33.8454,-9.445,40,1.2
6046,"TANZANIA","L/Masoko",33.8841,-9.5252,40,7.6
6047,"TANZANIA","Matema",34.0114,-9.5,40,2
6048,"TANZANIA","Maharaka",37.3062,-7.1734,40,5.6
6049,"TANZANIA","Mkongoro",29.7141,-4.6901,40,5.6
6050,"TANZANIA","Mdunduwal",35.41629,-10.52018,40,36
6051,"TANZANIA","Nakahuga",35.34389,-10.6861,40,37.2
6052,"TANZANIA","Ngazini",35.33937,-10.47982,40,40
6053,"TANZANIA","Lugagara",35.26697,-10.53363,40,39.2
6054,"TANZANIA","Mahanje",35.27602,-9.87892,40,38.8
6055,"TANZANIA","Mkongotem",35.47059,-9.93274,40,28
6056,"TANZANIA","Liti",35.38009,-9.9417,40,33.2
6057,"TANZANIA","Wino",35.30317,-9.75336,40,8
6058,"TANZANIA","Maweso",35.25339,-9.79821,40,36
