"X","country","village","long","lat","n","y"
2296,"CAMEROUN","DANKALI",14.25,6.4,33,5
2297,"CAMEROUN","Dozomo",14.08,6.23,30,7
2298,"CAMEROUN","KALALDI",14.05,6.3,31,2
2299,"CAMEROUN","BEKAZIKI",14,6.29,35,7
2300,"CAMEROUN","Dir",13.32,6.19,50,5
2301,"CAMEROUN","BOGODO",13.23,6.25,50,19
2302,"CAMEROUN","Ngaoundal",13.16,6.27,31,9
2303,"CAMEROUN","DZERJEM",13.37,6.32,49,18
2304,"CAMEROUN","Mayo-Daa",12.19,6.32,34,7
2305,"CAMEROUN","Banti-Ba",11.55,6.59,31,13
2306,"CAMEROUN","Mbi-Djoro",13.57,7.38,42,5
2307,"CAMEROUN","Mbideng",12.9,7.13,31,1.9995
2308,"CAMEROUN","Tchabal-M",12.15,7.27,33,2
2309,"CAMEROUN","Baore",14.05,6.87,41,6
2310,"CAMEROUN","SEAOUA",14.2,7.33,48,0
2311,"CAMEROUN","Ngao-Bam",13.03,6.7,43,0
2312,"CAMEROUN","Ngaou-Hor",13.2,6.72,30,0
2313,"CAMEROUN","Dzerba (D",14.14,6.98,31,1
2314,"CAMEROUN","Bayara",14.42,6.88,32,0
2315,"CAMEROUN","Koroin (K",14.3,6.57,45,17
2316,"CAMEROUN","Niase-Sou",14.53,6.88,30,7
2317,"CAMEROUN","Ngaoudamd",14.27,7.22,30,8
2318,"CAMEROUN","Abdi",14.2,7.18,31,2
2319,"CAMEROUN","Mbidou",14.87,6.62,40,9
2320,"CAMEROUN","Feirde Wa",13.53,7.31,41,20
2321,"CAMEROUN","Ouassanda",14.08,7.1,41,8
2322,"CAMEROUN","Paksal",13.32,7.28,34,7
2323,"CAMEROUN","Bakari-Ba",14.27,7,31,13
2324,"CAMEROUN","Bissouna",13.12,7.08,31,1
2325,"CAMEROUN","MANGARI",13.18,7.17,30,3
2326,"CAMEROUN","SARBALE",12.58,6.59,31,4
2327,"CAMEROUN","MARTAP",13.049029,6.895742,50,5
2328,"CAMEROUN","SAMAKI (M",14.15,6.47,43,9
2329,"CAMEROUN","NGOURI",12.32,7.3,40,13
2330,"CAMEROUN","REM",13.28,7.4,30,3
2331,"CAMEROUN","MIKEI",13.04,7.17,30,6
2332,"CAMEROUN","MAYO Djar",12.38,7.22,30,1
2333,"CAMEROUN","BONDO",14.38,6.48,30,5
2334,"CAMEROUN","OUANTA (W",14.34,6.37,30,8
2335,"CAMEROUN","Yatounou",14.38,6.46,30,6
2336,"CAMEROUN","Dzibiri (",14.28,6.44,31,8
2337,"CAMEROUN","Doaouissa",12.55,6.32,44,9
2338,"CAMEROUN","Borgou (B",14.48,6.54,43,6
2339,"CAMEROUN","Dougbe (D",12.16,5.53,32,10
2340,"CAMEROUN","MOGOUMAZ",13.820556,10.927778,31,4.9972
2341,"CAMEROUN","GALTA",13.905278,10.630833,31,1
2342,"CAMEROUN","ZILENG (z",13.837222,10.720833,48,7
2343,"CAMEROUN","LDAMTSAi",13.795278,10.761667,39,21
2344,"CAMEROUN","MENDEZE D",13.824444,10.754444,30,7
2345,"CAMEROUN","MAPOL DOU",13.839444,10.790833,46,28
2346,"CAMEROUN","NDOURE(ME",13.953611,10.642222,30,2
2347,"CAMEROUN","ZAMAY WIN",13.885833,10.658333,31,1
2348,"CAMEROUN","MAMSOUR",13.905278,10.565556,31,2
2349,"CAMEROUN","MOUHOUR",13.868889,10.663889,34,4
2350,"CAMEROUN","CHUGULE",13.776389,10.795278,50,23
2351,"CAMEROUN","MAYO Sang",13.743611,10.737222,41,5
2352,"CAMEROUN","GORAY",13.776944,10.71,45,11
2353,"CAMEROUN","KATAMSA",14.00504,10.58685,35,0
2354,"CAMEROUN","MBOKOMGUI",13.93,10.720278,40,9
2355,"CAMEROUN","METCHELTE",13.994722,10.672222,39,6
2356,"CAMEROUN","GOUZDA",13.84,10.825833,45,10
2357,"CAMEROUN","MAWA (K)",13.909444,10.942222,35,0
2358,"CAMEROUN","MOUDOUKOU",13.814444,10.941389,32,1
2359,"CAMEROUN","DJINGLIYA",13.866111,10.841944,51,12
2360,"CAMEROUN","MATAMAYA",13.929722,10.869722,31,3
2361,"CAMEROUN","OUROMBAYA",13.898611,10.894167,37,5
2362,"CAMEROUN","MANDOUSSA",13.831944,10.923056,30,1
2363,"CAMEROUN","MAZI (MAS",13.851111,10.879444,36,2
2364,"CAMEROUN","MBALDA(MB",14.043889,10.727222,30,2
2365,"CAMEROUN","FOGOM(MBO",14.019167,10.767222,50,6
2366,"CAMEROUN","ZOGOM",13.974722,10.742778,38,4
2367,"CAMEROUN","ROUA",13.996667,10.790556,30,0
2368,"CAMEROUN","Midre Var",13.891111,10.814444,33,10
2369,"CAMEROUN","DAYAK Mid",13.869722,10.801111,50,10
2370,"CAMEROUN","SOULEDE C",13.921389,10.764722,50,5
2371,"CAMEROUN","Kossehone",13.668611,10.721389,43,0
2372,"CAMEROUN","WAZA NATI",14.568611,11.4075,45,3
2373,"CAMEROUN","NDIGUINA",14.675278,11.486389,31,0
2374,"CAMEROUN","TAGAWA HO",14.440833,11.321667,32,0
2375,"CAMEROUN","MANGAVE A",14.370278,10.991389,33,0
2376,"CAMEROUN","BOUNDERTI",14.406944,11.35,30,0
2377,"CAMEROUN","MOKOCHE",14.428611,11.039722,36,0
2378,"CAMEROUN","HOMAKA",14.359722,11.332778,33,1
2379,"CAMEROUN","MAHOLA",14.223611,11.050278,38,2
2380,"CAMEROUN","GANGOA",13.992778,11.061667,50,5
2381,"CAMEROUN","LIMANA",14.171667,11.233611,35,2
2382,"CAMEROUN","MADA COLC",14.141111,10.925,35,0
2383,"CAMEROUN","MAKILINGA",14.238611,10.869722,30,0
2384,"CAMEROUN","MALAM PET",14.441944,10.823889,35,2
2385,"CAMEROUN","MALAM MAN",14.5525,10.869167,35,0
2386,"CAMEROUN","ZALLA",14.253889,10.631389,32,0
2387,"CAMEROUN","Gounougou",13.867778,9.214167,38,6
2388,"CAMEROUN","Ourobobow",13.835,9.265278,50,1
2389,"CAMEROUN","Djalingo",13.751111,9.405556,33,2
2390,"CAMEROUN","Gaschiga",13.626389,9.6,34,2
2391,"CAMEROUN","Katako",13.606944,9.748333,46,2
2392,"CAMEROUN","Bascheo",13.475833,9.743056,50,1
2393,"CAMEROUN","Hossere G",13.602498,10.019166,50,1
2394,"CAMEROUN","Babessa",13.597222,9.818889,50,0
2395,"CAMEROUN","Diri",13.633611,9.8375,41,0
2396,"CAMEROUN","Golombe",12.981111,9.442222,28,0
2397,"CAMEROUN","Padan",13.004167,9.368611,37,2
